PONT L EVEQUE;14130;14;49.2805619214;0.187666368193;25;816;4300;"{""type"": ""Polygon"", ""coordinates"": [[[0.1872233914, 49.2659287185], [0.1790390761, 49.264775062], [0.164814297, 49.2722585332], [0.1728696959, 49.2908519302], [0.1774674329, 49.2900150683], [0.1940898364, 49.3009629304], [0.1969917675, 49.2959031988], [0.2044544198, 49.2949878998], [0.2067850038, 49.2849584048], [0.2021300042, 49.2790037019], [0.207661378, 49.2733299634], [0.1974071531, 49.2659588956], [0.1872233914, 49.2659287185]]]}"
STE CROIX SUR MER;14480;14;49.316012626;-0.510000536108;47;210;200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5198012637, 49.3084704759], [-0.5234234847, 49.3093185887], [-0.5170692166, 49.3206795971], [-0.5136064868, 49.324001731], [-0.5041030579, 49.3227123021], [-0.493790917, 49.3161817353], [-0.5123175046, 49.3089134629], [-0.5198012637, 49.3084704759]]]}"
SALLEN;14240;14;49.1169448411;-0.839881279889;136;1146;300;"{""type"": ""Polygon"", ""coordinates"": [[[-0.8270042466, 49.0931967236], [-0.8403473278, 49.0982710747], [-0.84641875, 49.1078528279], [-0.8667469401, 49.1099820529], [-0.8779334887, 49.1028071348], [-0.8771023803, 49.1056245626], [-0.8784554052, 49.1171033466], [-0.8699631476, 49.1253166299], [-0.8558710074, 49.1272637134], [-0.8438959895, 49.1172773157], [-0.8338892939, 49.1177049205], [-0.8296959645, 49.1236806038], [-0.8307425842, 49.140795037], [-0.8297913622, 49.1420315174], [-0.8206249586, 49.1395956733], [-0.8118231866, 49.1316657815], [-0.8080964052, 49.1186688375], [-0.8113344472, 49.1160818036], [-0.8233923671, 49.11037892], [-0.8270042466, 49.0931967236]]]}"
TOURNIERES;14330;14;49.2304665973;-0.937851101881;57;353;200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.9325602352, 49.2177308986], [-0.9466935177, 49.2214272102], [-0.949957935, 49.2272790624], [-0.9488993922, 49.2337496494], [-0.9405932244, 49.2418075757], [-0.9357221612, 49.2424708287], [-0.9293014698, 49.2381258405], [-0.920714851, 49.2307636665], [-0.9252869251, 49.2316049063], [-0.9310391383, 49.2266377442], [-0.9325602352, 49.2177308986]]]}"
LA VACQUERIE;14240;14;49.092081743;-0.855715721102;124;1017;300;"{""type"": ""Polygon"", ""coordinates"": [[[-0.8703487753, 49.0735879031], [-0.8716507149, 49.0803785872], [-0.8800541603, 49.0890195455], [-0.8779334887, 49.1028071348], [-0.8667469401, 49.1099820529], [-0.84641875, 49.1078528279], [-0.8403473278, 49.0982710747], [-0.8270042466, 49.0931967236], [-0.8305267044, 49.0807699267], [-0.8430654768, 49.0776237847], [-0.8577179276, 49.078594376], [-0.8703487753, 49.0735879031]]]}"
LA VESPIERE;14290;14;49.0111903523;0.424749958219;175;871;1000;"{""type"": ""Polygon"", ""coordinates"": [[[0.4267601352, 48.9857182444], [0.4218210546, 48.9852522944], [0.4145318299, 48.9897108105], [0.4130902056, 48.996148502], [0.4126073698, 49.0066643867], [0.4131488723, 49.0265407851], [0.4095378092, 49.0328325043], [0.4245461671, 49.0320308596], [0.4460519294, 49.0190135506], [0.4337366703, 49.0033305447], [0.4267601352, 48.9857182444]]]}"
VILLY BOCAGE;14310;14;49.1039219543;-0.641975562637;141;1155;800;"{""type"": ""Polygon"", ""coordinates"": [[[-0.6715498453, 49.0845551326], [-0.6706776059, 49.0871380723], [-0.6588486926, 49.1123411622], [-0.6504136503, 49.1259185175], [-0.6465336603, 49.1241821488], [-0.638562102, 49.119833403], [-0.6136416871, 49.1148518004], [-0.6171677367, 49.0983917719], [-0.6169995408, 49.0967677233], [-0.6267209069, 49.0921183683], [-0.6715498453, 49.0845551326]]]}"
PONT D OUILLY;14690;14;48.8768624805;-0.409034326859;151;1950;1000;"{""type"": ""Polygon"", ""coordinates"": [[[-0.3616870042, 48.8631615952], [-0.3664586445, 48.8688062314], [-0.3913423283, 48.8568065077], [-0.4012760906, 48.85893681], [-0.4108519969, 48.8699610261], [-0.4252357415, 48.8664624838], [-0.4276564959, 48.8725592237], [-0.4359604231, 48.8701876229], [-0.4647644964, 48.8709861069], [-0.4752325551, 48.8763265697], [-0.4942053926, 48.8775922991], [-0.4923315585, 48.8836332208], [-0.4559125581, 48.8815310744], [-0.4455424106, 48.8883742782], [-0.4440500531, 48.8852126962], [-0.4345283243, 48.8836410696], [-0.4194529335, 48.8916340086], [-0.4148871466, 48.8902881592], [-0.4115742462, 48.8847297968], [-0.3962852858, 48.8838595328], [-0.3691732614, 48.8930420555], [-0.3491916121, 48.8882112843], [-0.3593313645, 48.8763425956], [-0.3616870042, 48.8631615952]]]}"
BEAUFAI;61270;61;48.755637161;0.511069602511;265;1298;400;"{""type"": ""Polygon"", ""coordinates"": [[[0.4886555232, 48.7331954759], [0.4873934009, 48.7365254331], [0.4957740422, 48.7481478614], [0.4930487709, 48.7510601911], [0.4879431419, 48.7505479198], [0.4895061292, 48.757095769], [0.4988796705, 48.760010059], [0.4938481327, 48.7766416568], [0.5079725552, 48.7830740464], [0.5288529945, 48.7700014654], [0.5303427576, 48.7667119066], [0.5228728733, 48.757756755], [0.5384046345, 48.749034611], [0.5379490679, 48.7425373238], [0.5249932029, 48.738013045], [0.4886555232, 48.7331954759]]]}"
FLEURE;61200;61;48.6830918716;-0.0507019208151;182;1207;200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.0470721128, 48.6513519905], [-0.0638303642, 48.656809141], [-0.0689835832, 48.6811785131], [-0.0608554929, 48.70509684], [-0.0602098177, 48.7059145154], [-0.0501513389, 48.7069373193], [-0.0215046006, 48.6979095148], [-0.0442555629, 48.6753137485], [-0.0470721128, 48.6513519905]]]}"
LONLAY L ABBAYE;61700;61;48.6502297145;-0.704744112776;217;5322;1200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.6511800683, 48.621602137], [-0.6770150973, 48.6179522435], [-0.6871054605, 48.6200623609], [-0.7078325565, 48.6175813923], [-0.7399767455, 48.6217084645], [-0.7435607722, 48.6275661849], [-0.7624778408, 48.6316344056], [-0.7728311943, 48.653306305], [-0.7732939381, 48.656704563], [-0.7617330715, 48.6632116648], [-0.756695891, 48.6727537191], [-0.7410632874, 48.6807735826], [-0.7362673121, 48.6795013255], [-0.7311591899, 48.6698552895], [-0.7201443005, 48.6629419893], [-0.6995392994, 48.6923620905], [-0.6614561499, 48.6828411023], [-0.6532762219, 48.6663982434], [-0.6577216313, 48.6529983366], [-0.6449523843, 48.6378751748], [-0.6457208406, 48.6274603984], [-0.6511800683, 48.621602137]]]}"
MACE;61500;61;48.6476898388;0.136870409048;180;1441;500;"{""type"": ""Polygon"", ""coordinates"": [[[0.1330692993, 48.6264719717], [0.1135045042, 48.6311298224], [0.121360309, 48.6435882203], [0.1004086752, 48.6576884233], [0.0960752826, 48.6637934461], [0.1011443906, 48.6696593675], [0.112887429, 48.6627348844], [0.1233164609, 48.6638332018], [0.1475796316, 48.6569370076], [0.1627610144, 48.656822491], [0.1766979693, 48.6563525392], [0.1762488755, 48.644794162], [0.1330692993, 48.6264719717]]]}"
MARMOUILLE;61240;61;48.6777380587;0.186993262473;191;963;200;"{""type"": ""Polygon"", ""coordinates"": [[[0.2253452168, 48.6730208988], [0.2103617606, 48.6729141181], [0.1883939114, 48.665467574], [0.1584966804, 48.6670444998], [0.1635830734, 48.674978089], [0.163091461, 48.6780265339], [0.1585251139, 48.677521737], [0.1604680896, 48.6872884705], [0.1685472698, 48.6954819028], [0.1696027573, 48.6920598602], [0.1934181041, 48.6850176981], [0.2290920097, 48.680785208], [0.2253452168, 48.6730208988]]]}"
LES MENUS;61290;61;48.5179857136;0.93370273757;218;1185;200;"{""type"": ""Polygon"", ""coordinates"": [[[0.9415536031, 48.4986928212], [0.9246225651, 48.5090980219], [0.9120816727, 48.5124958861], [0.8923102749, 48.5124167768], [0.8943109877, 48.5189225349], [0.9084231124, 48.5227263363], [0.9168413653, 48.5314501051], [0.9318420037, 48.5341507224], [0.9677400324, 48.523881461], [0.9546579633, 48.5046694959], [0.9415536031, 48.4986928212]]]}"
PARFONDEVAL;61400;61;48.4800875172;0.506050858158;191;309;100;"{""type"": ""Polygon"", ""coordinates"": [[[0.5028690616, 48.4692362986], [0.4907075336, 48.4812747047], [0.5008005898, 48.4885169978], [0.5157251321, 48.4873000847], [0.5209842421, 48.482306733], [0.5143695999, 48.4741849744], [0.5028690616, 48.4692362986]]]}"
PERROU;61700;61;48.5760698377;-0.548505109021;234;443;400;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5303224374, 48.5719793114], [-0.542651676, 48.5664980699], [-0.5564669322, 48.5705518711], [-0.5713603548, 48.5700874487], [-0.5658532756, 48.5820667029], [-0.5577284811, 48.5853265225], [-0.5222302121, 48.5787564367], [-0.5303224374, 48.5719793114]]]}"
PONTCHARDON;61120;61;48.9301943035;0.262438401104;181;478;200;"{""type"": ""Polygon"", ""coordinates"": [[[0.2730472221, 48.92170346], [0.2650541863, 48.9249224776], [0.236542097, 48.9246729821], [0.2372677687, 48.9318342359], [0.2726106679, 48.9404452787], [0.2837161161, 48.929711132], [0.2849293318, 48.9239979422], [0.2730472221, 48.92170346]]]}"
PREPOTIN;61190;61;48.6205781168;0.59033074993;278;1063;100;"{""type"": ""Polygon"", ""coordinates"": [[[0.5939944716, 48.608113334], [0.5800324464, 48.6054274715], [0.5655578564, 48.613501748], [0.5610992322, 48.6121955696], [0.5563992008, 48.6163558994], [0.5603368929, 48.6259309519], [0.5902569883, 48.6300498789], [0.6107826204, 48.6404883904], [0.6157562146, 48.6246147294], [0.6198026876, 48.6227968725], [0.61632243, 48.6136740975], [0.5939944716, 48.608113334]]]}"
RONFEUGERAI;61100;61;48.7747221864;-0.478925198883;220;666;300;"{""type"": ""Polygon"", ""coordinates"": [[[-0.4925861871, 48.7523719334], [-0.4969832225, 48.7529723976], [-0.5026540727, 48.7569294047], [-0.4933708877, 48.7687700408], [-0.4944855024, 48.7823584585], [-0.4705571685, 48.7869633901], [-0.4504569005, 48.7971783193], [-0.4442466882, 48.7920732222], [-0.4456860655, 48.7887008503], [-0.4648019846, 48.7827733218], [-0.4791979447, 48.7725149216], [-0.4788951549, 48.7626658385], [-0.4857740849, 48.7535254029], [-0.4925861871, 48.7523719334]]]}"
ST CENERI LE GEREI;61250;61;48.389040252;-0.0400378632746;155;385;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.0496723962, 48.3751329277], [-0.0545312047, 48.3820034578], [-0.0573455485, 48.3880982377], [-0.0536584574, 48.3935053228], [-0.0344853503, 48.3981303278], [-0.0201698044, 48.3939313583], [-0.0221012021, 48.3877869098], [-0.0514021138, 48.3781585763], [-0.0496723962, 48.3751329277]]]}"
ST CHRISTOPHE DE CHAULIEU;61800;61;48.7424101342;-0.83155426075;285;643;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.8424131015, 48.7284629718], [-0.8500384557, 48.732377323], [-0.8517748408, 48.745576405], [-0.8409360174, 48.7522291472], [-0.8253219049, 48.7524876185], [-0.808230034, 48.7601118544], [-0.8140888825, 48.7461748259], [-0.8189315238, 48.7314143343], [-0.8289770225, 48.732524025], [-0.8318165701, 48.7296683598], [-0.8424131015, 48.7284629718]]]}"
ST GEORGES D ANNEBECQ;61600;61;48.6307948842;-0.26545917977;238;939;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.2772212754, 48.6016681709], [-0.2773615876, 48.6084615032], [-0.2714667174, 48.6140614142], [-0.2731947914, 48.6241060249], [-0.2863739719, 48.6417213987], [-0.2871756755, 48.64669575], [-0.2701524167, 48.6521247995], [-0.2469393838, 48.6395532465], [-0.2500889421, 48.633183546], [-0.244336291, 48.6240857868], [-0.2458125456, 48.6174556082], [-0.2555247217, 48.6190449206], [-0.265491603, 48.6077344781], [-0.2772212754, 48.6016681709]]]}"
ST LOYER DES CHAMPS;61570;61;48.7006543083;0.0295556264854;181;1040;400;"{""type"": ""Polygon"", ""coordinates"": [[[0.0099446829, 48.6808264302], [0.0067149032, 48.68737912], [0.0026958159, 48.7003295407], [0.0113454794, 48.7083864074], [0.0202739578, 48.7113640705], [0.0408419276, 48.7196977426], [0.0556351843, 48.7123323258], [0.0599620765, 48.7036004609], [0.0645783459, 48.7027601219], [0.0410714661, 48.695239524], [0.0364025415, 48.6891019935], [0.0270520243, 48.6835586179], [0.0099446829, 48.6808264302]]]}"
